id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19848984,"1B/R Pool View Condo near MRT, Stay like home.",95293468,Jay,,Bang Sue,13.82952,100.52611,Private room,899,28,41,2022-07-30,0.66,1,355,4,
19992494,"The Luxury Edge, 5min Asok BTS/MRT",59925896,Arthur,,Vadhana,13.73726,100.56266,Entire home/apt,2000,4,97,2022-08-30,1.57,1,128,12,
19865517,168 Self Storage Near MRT THA Cultural Center,23772008,Saifon,,Din Daeng,13.77391,100.57253,Shared room,900,7,0,,,1,365,0,
19993143,ISSI ห้องหัวมุม 55ตรม. 2นอน+2น้ำ เฟอร์นิเจอร์/อุปกรณ์ ครบ **,8015451,Saowanee,,Rat Burana,13.68124,100.49187,Private room,1000,30,2,2019-02-02,0.04,2,255,0,
19867600,"PAMAhouse : Family room (2 bedrooms, 1 bathroom)",137954329,Kasipa,,Khlong San,13.71057,100.49815,Private room,2295,1,21,2022-06-22,0.35,9,171,2,
19867756,Hotel Papa Bangkok; Classy King with Bathtub,140542292,Sita,,Bangkok Noi,13.76574,100.48237,Private room,1490,1,0,,,4,365,0,
19867815,PAMAhouse : Twin room with shared bathroom,137954329,Kasipa,,Khlong San,13.71057,100.49815,Private room,990,1,4,2019-02-20,0.07,9,176,0,
19867848,Metropark apartment,104122286,Laksanara,,Phasi Charoen,13.69536,100.43334,Private room,1000,1,36,2022-08-10,0.64,14,176,5,
20001240,Hor Pak 95,141939277,Ck2,,Din Daeng,13.78406,100.56446,Private room,599,1,1,2017-08-05,0.02,1,365,0,
19868480,Hotel Papa Bangkok; Cozy Queen Room,140542292,Sita,,Bangkok Noi,13.76519,100.48394,Private room,1190,1,0,,,4,365,0,
20019184,THAIHOST@HOME STAY BANGKOK THAILAND,141053427,Kanlayaporn,,Lat Phrao,13.84663,100.60769,Private room,690,2,3,2019-04-23,0.05,2,363,0,
19872828,pink home,116837568,航,,Khlong Toei,13.70479,100.59517,Entire home/apt,1292,1,1,2017-07-23,0.02,1,365,0,
20020020,คอนโดลูกาโน่ ลาดพร้าว 18,49678947,Sawaluck,,Chatu Chak,13.80441,100.57005,Private room,1143,1,0,,,1,362,0,
19893829,2 Bedroom Suite@Kirthana Residence,64131143,Chetna,,Vadhana,13.73917,100.56616,Entire home/apt,5500,500,0,,,3,362,0,
20024509,Spacious Duplex Downtown near Skytrain/Metro,42258971,Buay,,Phaya Thai,13.78518,100.55588,Private room,2483,2,0,,,5,365,0,
19893980,Marvelous Street View and Well Equipped Condo,140156246,Brian,,Phra Khanong,13.68541,100.60876,Entire home/apt,9000,1,5,2017-11-19,0.08,2,89,0,
20035548,Ivy Thonglor Luxury 1 BR Condo,89442943,Tanya,,Vadhana,13.73781,100.58243,Entire home/apt,1500,7,54,2022-06-23,0.87,1,152,8,
19894492,W Station 離BTS 1分鐘環境優雅 一張大床1 卧1 卫 免費迎賓飲料 WI-FI,124182824,W Station,,Khlong San,13.72038,100.49329,Hotel room,2492,1,2,2019-10-20,0.06,6,364,0,
19895028,Cool Winter private room :) DMK Donmuaeng,26534119,Saranya,,Don Mueang,13.93297,100.59065,Private room,750,60,5,2019-01-10,0.08,5,365,0,
20039553,1 step BTS & Shopping mall/POOL/WiFi 中文,17509085,Nuchy,,Thon buri,13.71591,100.47993,Entire home/apt,690,28,142,2022-08-25,2.30,3,52,9,
20048395,Suvarnabhumi Airport 5mins & few walk Paseo Mall,135553564,Priew,,Lat Krabang,13.72135,100.73301,Entire home/apt,850,1,60,2020-03-29,0.97,2,0,0,
19901447,Dhub Guesthouse,48822679,Saharat,,Don Mueang,13.92322,100.60023,Private room,900,1,2,2018-09-27,0.03,2,365,0,
19901997,Warm Spring private room :) DMK Donmueang,26534119,Saranya,,Don Mueang,13.933,100.59065,Private room,750,60,14,2019-01-30,0.22,5,365,0,
20058402,Bangkok Condo - heart of the city,78731028,Kuntalee,,Vadhana,13.74331,100.56366,Entire home/apt,1975,7,2,2019-12-17,0.04,1,358,0,
20059207,Bangluang Room,5325919,วสวัตติ์,,Phasi Charoen,13.73281,100.4621,Private room,1540,1,4,2019-09-07,0.07,3,353,0,
19904428,WalaVela FAMILYsuit/CITY CENTER/LOCAL THAI/Jacuzzi,27947186,Tindies,,Khlong Toei,13.72151,100.58012,Entire home/apt,12800,1,90,2020-06-13,1.45,1,140,0,
20066499,Modern 1 BedR condo- few mins frm BTS Wongwian Yai,47767677,Pé,,Thon buri,13.71941,100.49165,Entire home/apt,990,14,45,2022-08-05,0.76,2,243,2,
19917236,PAMAhouse : Ladies Dorm with personal locker,137954329,Kasipa,,Khlong San,13.71057,100.49815,Shared room,440,1,3,2019-02-06,0.06,9,177,0,
20077669,คอนโดbtsสะพานควาย,142739565,Mimi,,Phaya Thai,13.79251,100.54843,Private room,850,1,9,2022-09-12,0.21,1,175,4,
19918034,"39$ Best place 15 minutes to Sathorn, Silom",141090113,Meimei,,Yan na wa,13.70006,100.54223,Private room,1331,3,1,2018-07-25,0.02,1,365,0,
19918087,PAMAhouse : Deluxe Room with bathtub,137954329,Kasipa,,Khlong San,13.71057,100.49815,Private room,1350,1,26,2021-11-14,0.44,9,165,1,
19918281,PAMAhouse : Superior Room with rooftop terrace,137954329,Kasipa,,Khlong San,13.71057,100.49815,Private room,1170,1,1,2018-04-15,0.02,9,159,0,
20086125,1 BR Stylish condo in Aree near BTS (Room No. 5),12103171,Cher,,Phaya Thai,13.78449,100.55236,Entire home/apt,2500,30,7,2022-09-02,0.12,2,278,2,
20092892,NEW Sukhumvit center BTS Ekkamai Condo rent 1BR,3785867,Julia,,Khlong Toei,13.71757,100.58693,Entire home/apt,3698,90,11,2020-01-02,0.18,2,364,0,
20093280,Welcome Studio City Center in Asoke-Rama9,142808861,NamWhan,,Ratchathewi,13.75456,100.56348,Entire home/apt,1849,15,0,,,1,365,0,
